timedelta,dst
1142 days 22:00:00,-20
1142 days 23:00:00,-23
1143 days 00:00:00,-27
1143 days 01:00:00,-25
1143 days 02:00:00,-26
1143 days 03:00:00,-25
1143 days 04:00:00,-28
1143 days 05:00:00,-25
1143 days 06:00:00,-19
1143 days 07:00:00,-13
1143 days 08:00:00,-11
1143 days 09:00:00,-7
1143 days 10:00:00,-7
1143 days 11:00:00,-8
1143 days 12:00:00,-11
1143 days 13:00:00,-9
1143 days 14:00:00,-9
1143 days 15:00:00,15
1143 days 16:00:00,7
1143 days 17:00:00,-3
1143 days 18:00:00,-6
1143 days 19:00:00,-20
1143 days 20:00:00,-14
1143 days 21:00:00,-22
1143 days 22:00:00,-30
1143 days 23:00:00,-31
1144 days 00:00:00,-29
1144 days 01:00:00,-28
1144 days 02:00:00,-32
1144 days 03:00:00,-36
1144 days 04:00:00,-36
1144 days 05:00:00,-34
1144 days 06:00:00,-36
1144 days 07:00:00,-50
1144 days 08:00:00,-42
1144 days 09:00:00,-26
1144 days 10:00:00,-34
1144 days 11:00:00,-48
1144 days 12:00:00,-38
1144 days 13:00:00,-29
1144 days 14:00:00,-30
1144 days 15:00:00,-28
1144 days 16:00:00,-26
1144 days 17:00:00,-21
1144 days 18:00:00,-31
1144 days 19:00:00,-28
1144 days 20:00:00,-20
1144 days 21:00:00,-13
1144 days 22:00:00,-25
1144 days 23:00:00,-30
1145 days 00:00:00,-23
1145 days 01:00:00,-18
1145 days 02:00:00,-22
1145 days 03:00:00,-22
1145 days 04:00:00,-23
1145 days 05:00:00,-20
1145 days 06:00:00,-21
1145 days 07:00:00,-31
1145 days 08:00:00,-30
1145 days 09:00:00,-22
1145 days 10:00:00,-18
1145 days 11:00:00,-20
1145 days 12:00:00,-21
1145 days 13:00:00,-15
1145 days 14:00:00,-10
1145 days 15:00:00,-12
1145 days 16:00:00,-8
1145 days 17:00:00,-6
1145 days 18:00:00,-6
1145 days 19:00:00,-8
1145 days 20:00:00,-22
1145 days 21:00:00,-23
1145 days 22:00:00,-21
1145 days 23:00:00,-18
1146 days 00:00:00,-10
1146 days 01:00:00,-13
1146 days 02:00:00,-35
1146 days 03:00:00,-29
1146 days 04:00:00,-39
1146 days 05:00:00,-40
1146 days 06:00:00,-41
1146 days 07:00:00,-42
1146 days 08:00:00,-38
1146 days 09:00:00,-39
1146 days 10:00:00,-41
1146 days 11:00:00,-42
1146 days 12:00:00,-40
1146 days 13:00:00,-36
1146 days 14:00:00,-34
1146 days 15:00:00,-36
1146 days 16:00:00,-33
1146 days 17:00:00,-20
1146 days 18:00:00,-11
1146 days 19:00:00,-16
1146 days 20:00:00,-18
1146 days 21:00:00,-26
1146 days 22:00:00,-31
1146 days 23:00:00,-28
1147 days 00:00:00,-30
1147 days 01:00:00,-33
1147 days 02:00:00,-26
1147 days 03:00:00,-23
1147 days 04:00:00,-23
1147 days 05:00:00,-25
1147 days 06:00:00,-28
1147 days 07:00:00,-31
1147 days 08:00:00,-34
1147 days 09:00:00,-31
1147 days 10:00:00,-27
1147 days 11:00:00,4
1147 days 12:00:00,0
1147 days 13:00:00,-3
1147 days 14:00:00,-50
1147 days 15:00:00,-59
1147 days 16:00:00,-46
1147 days 17:00:00,-45
1147 days 18:00:00,-45
1147 days 19:00:00,-33
1147 days 20:00:00,-43
1147 days 21:00:00,-57
1147 days 22:00:00,-57
1147 days 23:00:00,-55
1148 days 00:00:00,-53
1148 days 01:00:00,-53
1148 days 02:00:00,-52
1148 days 03:00:00,-53
1148 days 04:00:00,-54
1148 days 05:00:00,-59
1148 days 06:00:00,-63
1148 days 07:00:00,-62
1148 days 08:00:00,-57
1148 days 09:00:00,-56
1148 days 10:00:00,-52
1148 days 11:00:00,-49
1148 days 12:00:00,-44
1148 days 13:00:00,-42
1148 days 14:00:00,-48
1148 days 15:00:00,-47
1148 days 16:00:00,-43
1148 days 17:00:00,-44
1148 days 18:00:00,-47
1148 days 19:00:00,-56
1148 days 20:00:00,-62
1148 days 21:00:00,-60
1148 days 22:00:00,-56
1148 days 23:00:00,-55
1149 days 00:00:00,-52
1149 days 01:00:00,-50
1149 days 02:00:00,-46
1149 days 03:00:00,-43
1149 days 04:00:00,-42
1149 days 05:00:00,-38
1149 days 06:00:00,-39
1149 days 07:00:00,-38
1149 days 08:00:00,-34
1149 days 09:00:00,-30
1149 days 10:00:00,-31
1149 days 11:00:00,-28
1149 days 12:00:00,-26
1149 days 13:00:00,-27
1149 days 14:00:00,-31
1149 days 15:00:00,-32
1149 days 16:00:00,-36
1149 days 17:00:00,-34
1149 days 18:00:00,-30
1149 days 19:00:00,-22
1149 days 20:00:00,-17
1149 days 21:00:00,-17
1149 days 22:00:00,-25
1149 days 23:00:00,-24
1150 days 00:00:00,-28
1150 days 01:00:00,-31
1150 days 02:00:00,-30
1150 days 03:00:00,-29
1150 days 04:00:00,-31
1150 days 05:00:00,-29
1150 days 06:00:00,-24
1150 days 07:00:00,-27
1150 days 08:00:00,-24
1150 days 09:00:00,-21
1150 days 10:00:00,-23
1150 days 11:00:00,-24
1150 days 12:00:00,-21
1150 days 13:00:00,-17
1150 days 14:00:00,-8
1150 days 15:00:00,-2
1150 days 16:00:00,-26
1150 days 17:00:00,-84
1150 days 18:00:00,-105
1150 days 19:00:00,-104
1150 days 20:00:00,-147
1150 days 21:00:00,-205
1150 days 22:00:00,-215
1150 days 23:00:00,-271
1151 days 00:00:00,-236
1151 days 01:00:00,-215
1151 days 02:00:00,-210
1151 days 03:00:00,-187
1151 days 04:00:00,-170
1151 days 05:00:00,-164
1151 days 06:00:00,-162
1151 days 07:00:00,-155
1151 days 08:00:00,-148
1151 days 09:00:00,-134
1151 days 10:00:00,-125
1151 days 11:00:00,-117
1151 days 12:00:00,-112
1151 days 13:00:00,-107
1151 days 14:00:00,-109
1151 days 15:00:00,-108
1151 days 16:00:00,-102
1151 days 17:00:00,-95
1151 days 18:00:00,-91
1151 days 19:00:00,-85
1151 days 20:00:00,-79
1151 days 21:00:00,-77
1151 days 22:00:00,-77
1151 days 23:00:00,-76
1152 days 00:00:00,-76
1152 days 01:00:00,-74
1152 days 02:00:00,-72
1152 days 03:00:00,-70
1152 days 04:00:00,-66
1152 days 05:00:00,-66
1152 days 06:00:00,-66
1152 days 07:00:00,-59
1152 days 08:00:00,-41
1152 days 09:00:00,-31
1152 days 10:00:00,-14
1152 days 11:00:00,-60
1152 days 12:00:00,-43
1152 days 13:00:00,-50
1152 days 14:00:00,-64
1152 days 15:00:00,-77
1152 days 16:00:00,-71
1152 days 17:00:00,-60
1152 days 18:00:00,-58
1152 days 19:00:00,-56
1152 days 20:00:00,-66
1152 days 21:00:00,-68
1152 days 22:00:00,-71
1152 days 23:00:00,-75
1153 days 00:00:00,-75
1153 days 01:00:00,-68
1153 days 02:00:00,-64
1153 days 03:00:00,-57
1153 days 04:00:00,-53
1153 days 05:00:00,-48
1153 days 06:00:00,-53
1153 days 07:00:00,-40
1153 days 08:00:00,-41
1153 days 09:00:00,-39
1153 days 10:00:00,-45
1153 days 11:00:00,-43
1153 days 12:00:00,-38
1153 days 13:00:00,-33
1153 days 14:00:00,-35
1153 days 15:00:00,-40
1153 days 16:00:00,-38
1153 days 17:00:00,-35
1153 days 18:00:00,-30
1153 days 19:00:00,-30
1153 days 20:00:00,-28
1153 days 21:00:00,-29
1153 days 22:00:00,-32
1153 days 23:00:00,-35
1154 days 00:00:00,-36
1154 days 01:00:00,-36
1154 days 02:00:00,-37
1154 days 03:00:00,-34
1154 days 04:00:00,-35
1154 days 05:00:00,-33
1154 days 06:00:00,-35
1154 days 07:00:00,-34
1154 days 08:00:00,-37
1154 days 09:00:00,-37
1154 days 10:00:00,-38
1154 days 11:00:00,-38
1154 days 12:00:00,-35
1154 days 13:00:00,-30
1154 days 14:00:00,-29
1154 days 15:00:00,-29
1154 days 16:00:00,-30
1154 days 17:00:00,-25
1154 days 18:00:00,-22
1154 days 19:00:00,-21
1154 days 20:00:00,-20
1154 days 21:00:00,-21
1154 days 22:00:00,-25
1154 days 23:00:00,-30
1155 days 00:00:00,-33
1155 days 01:00:00,-36
1155 days 02:00:00,-36
1155 days 03:00:00,-34
1155 days 04:00:00,-32
1155 days 05:00:00,-31
1155 days 06:00:00,-30
1155 days 07:00:00,-24
1155 days 08:00:00,-21
1155 days 09:00:00,-19
1155 days 10:00:00,-22
1155 days 11:00:00,-21
1155 days 12:00:00,-20
1155 days 13:00:00,-17
1155 days 14:00:00,-18
1155 days 15:00:00,-22
1155 days 16:00:00,-22
1155 days 17:00:00,-20
1155 days 18:00:00,-20
1155 days 19:00:00,-19
1155 days 20:00:00,-19
1155 days 21:00:00,-19
1155 days 22:00:00,-19
1155 days 23:00:00,-21
1156 days 00:00:00,-25
1156 days 01:00:00,-30
1156 days 02:00:00,-29
1156 days 03:00:00,-25
1156 days 04:00:00,-21
1156 days 05:00:00,-24
1156 days 06:00:00,-25
1156 days 07:00:00,-22
1156 days 08:00:00,-15
1156 days 09:00:00,-12
1156 days 10:00:00,-12
1156 days 11:00:00,-14
1156 days 12:00:00,-14
1156 days 13:00:00,-14
1156 days 14:00:00,-13
1156 days 15:00:00,-18
1156 days 16:00:00,-18
1156 days 17:00:00,-12
1156 days 18:00:00,-14
1156 days 19:00:00,-18
1156 days 20:00:00,-18
1156 days 21:00:00,-18
1156 days 22:00:00,-21
1156 days 23:00:00,-29
1157 days 00:00:00,-25
1157 days 01:00:00,-8
1157 days 02:00:00,-24
1157 days 03:00:00,-49
1157 days 04:00:00,-94
1157 days 05:00:00,-104
1157 days 06:00:00,-114
1157 days 07:00:00,-109
1157 days 08:00:00,-102
1157 days 09:00:00,-83
1157 days 10:00:00,-74
1157 days 11:00:00,-72
1157 days 12:00:00,-68
1157 days 13:00:00,-67
1157 days 14:00:00,-69
1157 days 15:00:00,-71
1157 days 16:00:00,-73
1157 days 17:00:00,-71
1157 days 18:00:00,-68
1157 days 19:00:00,-71
1157 days 20:00:00,-69
1157 days 21:00:00,-67
1157 days 22:00:00,-66
1157 days 23:00:00,-70
1158 days 00:00:00,-73
1158 days 01:00:00,-78
1158 days 02:00:00,-71
1158 days 03:00:00,-62
1158 days 04:00:00,-59
1158 days 05:00:00,-55
1158 days 06:00:00,-50
1158 days 07:00:00,-44
1158 days 08:00:00,-40
1158 days 09:00:00,-37
1158 days 10:00:00,-38
1158 days 11:00:00,-38
1158 days 12:00:00,-35
1158 days 13:00:00,-31
1158 days 14:00:00,-31
1158 days 15:00:00,-31
1158 days 16:00:00,-31
1158 days 17:00:00,-27
1158 days 18:00:00,-20
1158 days 19:00:00,-22
1158 days 20:00:00,-23
1158 days 21:00:00,-25
1158 days 22:00:00,-26
1158 days 23:00:00,-27
1159 days 00:00:00,-30
1159 days 01:00:00,-29
1159 days 02:00:00,-33
1159 days 03:00:00,-34
1159 days 04:00:00,-29
1159 days 05:00:00,-24
1159 days 06:00:00,-24
1159 days 07:00:00,-22
1159 days 08:00:00,-18
1159 days 09:00:00,-19
1159 days 10:00:00,-20
1159 days 11:00:00,-24
1159 days 12:00:00,-25
1159 days 13:00:00,-21
1159 days 14:00:00,-17
1159 days 15:00:00,-18
1159 days 16:00:00,-19
1159 days 17:00:00,-14
1159 days 18:00:00,-13
1159 days 19:00:00,-14
1159 days 20:00:00,-13
1159 days 21:00:00,-13
1159 days 22:00:00,-15
1159 days 23:00:00,-12
1160 days 00:00:00,-10
1160 days 01:00:00,-13
1160 days 02:00:00,-14
1160 days 03:00:00,-13
1160 days 04:00:00,-12
1160 days 05:00:00,-8
1160 days 06:00:00,-5
1160 days 07:00:00,-2
1160 days 08:00:00,-1
1160 days 09:00:00,-3
1160 days 10:00:00,-6
1160 days 11:00:00,-7
1160 days 12:00:00,-6
1160 days 13:00:00,-7
1160 days 14:00:00,-9
1160 days 15:00:00,-11
1160 days 16:00:00,8
1160 days 17:00:00,11
1160 days 18:00:00,10
1160 days 19:00:00,11
1160 days 20:00:00,11
1160 days 21:00:00,12
1160 days 22:00:00,12
1160 days 23:00:00,8
1161 days 00:00:00,4
1161 days 01:00:00,-4
1161 days 02:00:00,-9
1161 days 03:00:00,-17
1161 days 04:00:00,-21
1161 days 05:00:00,-18
1161 days 06:00:00,-25
1161 days 07:00:00,-36
1161 days 08:00:00,-35
1161 days 09:00:00,-41
1161 days 10:00:00,-43
1161 days 11:00:00,-50
1161 days 12:00:00,-64
1161 days 13:00:00,-79
1161 days 14:00:00,-92
1161 days 15:00:00,-102
1161 days 16:00:00,-93
1161 days 17:00:00,-84
1161 days 18:00:00,-77
1161 days 19:00:00,-83
1161 days 20:00:00,-85
1161 days 21:00:00,-89
1161 days 22:00:00,-87
1161 days 23:00:00,-80
1162 days 00:00:00,-72
1162 days 01:00:00,-71
1162 days 02:00:00,-74
1162 days 03:00:00,-80
1162 days 04:00:00,-83
1162 days 05:00:00,-78
1162 days 06:00:00,-66
1162 days 07:00:00,-69
1162 days 08:00:00,-74
1162 days 09:00:00,-78
1162 days 10:00:00,-76
1162 days 11:00:00,-60
1162 days 12:00:00,-53
1162 days 13:00:00,-53
1162 days 14:00:00,-57
1162 days 15:00:00,-55
1162 days 16:00:00,-48
1162 days 17:00:00,-40
1162 days 18:00:00,-34
1162 days 19:00:00,-33
1162 days 20:00:00,-30
1162 days 21:00:00,-32
1162 days 22:00:00,-32
1162 days 23:00:00,-30
1163 days 00:00:00,-29
1163 days 01:00:00,-29
1163 days 02:00:00,-27
1163 days 03:00:00,-28
1163 days 04:00:00,-29
1163 days 05:00:00,-33
1163 days 06:00:00,-40
1163 days 07:00:00,-39
1163 days 08:00:00,-36
1163 days 09:00:00,-35
1163 days 10:00:00,-28
1163 days 11:00:00,-26
1163 days 12:00:00,-29
1163 days 13:00:00,-30
1163 days 14:00:00,-31
1163 days 15:00:00,-30
1163 days 16:00:00,-29
1163 days 17:00:00,-24
1163 days 18:00:00,-24
1163 days 19:00:00,-25
1163 days 20:00:00,-23
1163 days 21:00:00,-21
1163 days 22:00:00,-17
1163 days 23:00:00,-19
1164 days 00:00:00,-20
1164 days 01:00:00,-21
1164 days 02:00:00,-21
1164 days 03:00:00,-18
1164 days 04:00:00,-16
1164 days 05:00:00,-13
1164 days 06:00:00,-11
1164 days 07:00:00,-8
1164 days 08:00:00,-7
1164 days 09:00:00,-9
1164 days 10:00:00,-3
1164 days 11:00:00,-1
1164 days 12:00:00,-4
1164 days 13:00:00,-5
1164 days 14:00:00,0
1164 days 15:00:00,3
1164 days 16:00:00,1
1164 days 17:00:00,1
1164 days 18:00:00,-2
1164 days 19:00:00,-2
1164 days 20:00:00,4
1164 days 21:00:00,4
1164 days 22:00:00,0
1164 days 23:00:00,0
1165 days 00:00:00,-4
1165 days 01:00:00,-5
1165 days 02:00:00,-2
1165 days 03:00:00,-3
1165 days 04:00:00,-3
1165 days 05:00:00,-8
1165 days 06:00:00,-11
1165 days 07:00:00,-10
1165 days 08:00:00,-11
1165 days 09:00:00,-6
1165 days 10:00:00,-7
1165 days 11:00:00,-8
1165 days 12:00:00,-5
1165 days 13:00:00,-4
1165 days 14:00:00,-5
1165 days 15:00:00,-4
1165 days 16:00:00,-6
1165 days 17:00:00,-5
1165 days 18:00:00,-3
1165 days 19:00:00,-2
1165 days 20:00:00,-4
1165 days 21:00:00,-5
1165 days 22:00:00,-6
1165 days 23:00:00,-9
1166 days 00:00:00,-10
1166 days 01:00:00,-8
1166 days 02:00:00,-9
1166 days 03:00:00,-9
1166 days 04:00:00,-4
1166 days 05:00:00,-1
1166 days 06:00:00,0
1166 days 07:00:00,2
1166 days 08:00:00,0
1166 days 09:00:00,-1
1166 days 10:00:00,-4
1166 days 11:00:00,-4
1166 days 12:00:00,-4
1166 days 13:00:00,0
1166 days 14:00:00,2
1166 days 15:00:00,2
1166 days 16:00:00,2
1166 days 17:00:00,-2
1166 days 18:00:00,-3
1166 days 19:00:00,0
1166 days 20:00:00,0
1166 days 21:00:00,-2
1166 days 22:00:00,-1
1166 days 23:00:00,0
1167 days 00:00:00,-1
1167 days 01:00:00,-3
1167 days 02:00:00,-1
1167 days 03:00:00,2
1167 days 04:00:00,5
1167 days 05:00:00,41
1167 days 06:00:00,39
1167 days 07:00:00,33
1167 days 08:00:00,32
1167 days 09:00:00,20
1167 days 10:00:00,6
1167 days 11:00:00,-6
1167 days 12:00:00,-1
1167 days 13:00:00,1
1167 days 14:00:00,-18
1167 days 15:00:00,-26
1167 days 16:00:00,-20
1167 days 17:00:00,-18
1167 days 18:00:00,-33
1167 days 19:00:00,-30
1167 days 20:00:00,-23
1167 days 21:00:00,-27
1167 days 22:00:00,-20
1167 days 23:00:00,-19
1168 days 00:00:00,-12
1168 days 01:00:00,-25
1168 days 02:00:00,-47
1168 days 03:00:00,-47
1168 days 04:00:00,-39
1168 days 05:00:00,-31
1168 days 06:00:00,-23
1168 days 07:00:00,-14
1168 days 08:00:00,-9
1168 days 09:00:00,-2
1168 days 10:00:00,-1
1168 days 11:00:00,-4
1168 days 12:00:00,-6
1168 days 13:00:00,-9
1168 days 14:00:00,-15
1168 days 15:00:00,-22
1168 days 16:00:00,-24
1168 days 17:00:00,-20
1168 days 18:00:00,-14
1168 days 19:00:00,-11
1168 days 20:00:00,-10
1168 days 21:00:00,-13
1168 days 22:00:00,-15
1168 days 23:00:00,-16
1169 days 00:00:00,-19
1169 days 01:00:00,-22
1169 days 02:00:00,-23
1169 days 03:00:00,-21
1169 days 04:00:00,-20
1169 days 05:00:00,-19
1169 days 06:00:00,-16
1169 days 07:00:00,-14
1169 days 08:00:00,-11
1169 days 09:00:00,-12
1169 days 10:00:00,-14
1169 days 11:00:00,-14
1169 days 12:00:00,-13
1169 days 13:00:00,-12
1169 days 14:00:00,-13
1169 days 15:00:00,-14
1169 days 16:00:00,-13
1169 days 17:00:00,-12
1169 days 18:00:00,-10
1169 days 19:00:00,-4
1169 days 20:00:00,-2
1169 days 21:00:00,-5
1169 days 22:00:00,-6
1169 days 23:00:00,-6
1170 days 00:00:00,-6
1170 days 01:00:00,-8
1170 days 02:00:00,-9
1170 days 03:00:00,-13
1170 days 04:00:00,-11
1170 days 05:00:00,-8
1170 days 06:00:00,-4
1170 days 07:00:00,-1
1170 days 08:00:00,1
1170 days 09:00:00,-3
1170 days 10:00:00,-1
1170 days 11:00:00,-2
1170 days 12:00:00,1
1170 days 13:00:00,2
1170 days 14:00:00,-3
1170 days 15:00:00,2
1170 days 16:00:00,3
1170 days 17:00:00,6
1170 days 18:00:00,8
1170 days 19:00:00,8
1170 days 20:00:00,4
1170 days 21:00:00,4
1170 days 22:00:00,3
1170 days 23:00:00,2
1171 days 00:00:00,2
1171 days 01:00:00,0
1171 days 02:00:00,2
1171 days 03:00:00,8
1171 days 04:00:00,13
1171 days 05:00:00,13
1171 days 06:00:00,14
1171 days 07:00:00,12
1171 days 08:00:00,9
1171 days 09:00:00,12
1171 days 10:00:00,7
1171 days 11:00:00,2
1171 days 12:00:00,5
1171 days 13:00:00,8
1171 days 14:00:00,7
1171 days 15:00:00,4
1171 days 16:00:00,1
1171 days 17:00:00,1
1171 days 18:00:00,2
1171 days 19:00:00,5
1171 days 20:00:00,7
1171 days 21:00:00,6
1171 days 22:00:00,5
1171 days 23:00:00,3
1172 days 00:00:00,-2
1172 days 01:00:00,-7
1172 days 02:00:00,-5
1172 days 03:00:00,0
1172 days 04:00:00,3
1172 days 05:00:00,5
1172 days 06:00:00,7
1172 days 07:00:00,11
1172 days 08:00:00,14
1172 days 09:00:00,13
1172 days 10:00:00,6
1172 days 11:00:00,-3
1172 days 12:00:00,4
1172 days 13:00:00,9
1172 days 14:00:00,9
1172 days 15:00:00,7
1172 days 16:00:00,2
1172 days 17:00:00,6
1172 days 18:00:00,13
1172 days 19:00:00,15
1172 days 20:00:00,11
1172 days 21:00:00,13
1172 days 22:00:00,11
1172 days 23:00:00,9
1173 days 00:00:00,6
1173 days 01:00:00,7
1173 days 02:00:00,10
1173 days 03:00:00,8
1173 days 04:00:00,5
1173 days 05:00:00,0
1173 days 06:00:00,-2
1173 days 07:00:00,7
1173 days 08:00:00,4
1173 days 09:00:00,5
1173 days 10:00:00,1
1173 days 11:00:00,6
1173 days 12:00:00,5
1173 days 13:00:00,0
1173 days 14:00:00,-1
1173 days 15:00:00,-1
1173 days 16:00:00,0
1173 days 17:00:00,2
1173 days 18:00:00,6
1173 days 19:00:00,5
1173 days 20:00:00,4
1173 days 21:00:00,4
1173 days 22:00:00,8
1173 days 23:00:00,7
1174 days 00:00:00,4
1174 days 01:00:00,2
1174 days 02:00:00,0
1174 days 03:00:00,0
1174 days 04:00:00,1
1174 days 05:00:00,2
1174 days 06:00:00,3
1174 days 07:00:00,3
1174 days 08:00:00,5
1174 days 09:00:00,6
1174 days 10:00:00,5
1174 days 11:00:00,5
1174 days 12:00:00,5
1174 days 13:00:00,5
1174 days 14:00:00,4
1174 days 15:00:00,4
1174 days 16:00:00,2
1174 days 17:00:00,1
1174 days 18:00:00,0
1174 days 19:00:00,4
1174 days 20:00:00,6
1174 days 21:00:00,6
1174 days 22:00:00,2
1174 days 23:00:00,4
1175 days 00:00:00,3
1175 days 01:00:00,4
1175 days 02:00:00,5
1175 days 03:00:00,6
1175 days 04:00:00,8
1175 days 05:00:00,9
1175 days 06:00:00,8
1175 days 07:00:00,9
1175 days 08:00:00,12
1175 days 09:00:00,14
1175 days 10:00:00,18
1175 days 11:00:00,14
1175 days 12:00:00,12
1175 days 13:00:00,8
1175 days 14:00:00,6
1175 days 15:00:00,4
1175 days 16:00:00,7
1175 days 17:00:00,10
1175 days 18:00:00,12
1175 days 19:00:00,13
1175 days 20:00:00,14
1175 days 21:00:00,12
1175 days 22:00:00,8
1175 days 23:00:00,4
1176 days 00:00:00,0
1176 days 01:00:00,-8
1176 days 02:00:00,-17
1176 days 03:00:00,-31
1176 days 04:00:00,-36
1176 days 05:00:00,-35
1176 days 06:00:00,-22
1176 days 07:00:00,-19
1176 days 08:00:00,-21
1176 days 09:00:00,-25
1176 days 10:00:00,-15
1176 days 11:00:00,-7
1176 days 12:00:00,-8
1176 days 13:00:00,-13
1176 days 14:00:00,-13
1176 days 15:00:00,-19
1176 days 16:00:00,-24
1176 days 17:00:00,-21
1176 days 18:00:00,-21
1176 days 19:00:00,-18
1176 days 20:00:00,-15
1176 days 21:00:00,-14
1176 days 22:00:00,-17
1176 days 23:00:00,-18
1177 days 00:00:00,-20
1177 days 01:00:00,-21
1177 days 02:00:00,-20
1177 days 03:00:00,-17
1177 days 04:00:00,-16
1177 days 05:00:00,-16
1177 days 06:00:00,-14
1177 days 07:00:00,-14
1177 days 08:00:00,-10
1177 days 09:00:00,-8
1177 days 10:00:00,-7
1177 days 11:00:00,-2
1177 days 12:00:00,-15
1177 days 13:00:00,-17
1177 days 14:00:00,-15
1177 days 15:00:00,-22
1177 days 16:00:00,-25
1177 days 17:00:00,-26
1177 days 18:00:00,-29
1177 days 19:00:00,-27
1177 days 20:00:00,-31
1177 days 21:00:00,-32
1177 days 22:00:00,-34
1177 days 23:00:00,-39
1178 days 00:00:00,-48
1178 days 01:00:00,-47
1178 days 02:00:00,-57
1178 days 03:00:00,-49
1178 days 04:00:00,-55
1178 days 05:00:00,-50
1178 days 06:00:00,-48
1178 days 07:00:00,-43
1178 days 08:00:00,-40
1178 days 09:00:00,-46
1178 days 10:00:00,-41
1178 days 11:00:00,-31
1178 days 12:00:00,-26
1178 days 13:00:00,-32
1178 days 14:00:00,-40
1178 days 15:00:00,-48
1178 days 16:00:00,-57
1178 days 17:00:00,-67
1178 days 18:00:00,-68
1178 days 19:00:00,-65
1178 days 20:00:00,-52
1178 days 21:00:00,-56
1178 days 22:00:00,-64
1178 days 23:00:00,-63
1179 days 00:00:00,-73
1179 days 01:00:00,-76
1179 days 02:00:00,-74
1179 days 03:00:00,-76
1179 days 04:00:00,-68
1179 days 05:00:00,-69
1179 days 06:00:00,-71
1179 days 07:00:00,-68
1179 days 08:00:00,-58
1179 days 09:00:00,-55
1179 days 10:00:00,-54
1179 days 11:00:00,-46
1179 days 12:00:00,-43
1179 days 13:00:00,-39
1179 days 14:00:00,-42
1179 days 15:00:00,-42
1179 days 16:00:00,-43
1179 days 17:00:00,-48
1179 days 18:00:00,-48
1179 days 19:00:00,-46
1179 days 20:00:00,-37
1179 days 21:00:00,-35
1179 days 22:00:00,-42
1179 days 23:00:00,-44
1180 days 00:00:00,-44
1180 days 01:00:00,-46
1180 days 02:00:00,-46
1180 days 03:00:00,-40
1180 days 04:00:00,-33
1180 days 05:00:00,-32
1180 days 06:00:00,-32
1180 days 07:00:00,-33
1180 days 08:00:00,-32
1180 days 09:00:00,-29
1180 days 10:00:00,-28
1180 days 11:00:00,-27
1180 days 12:00:00,-27
1180 days 13:00:00,-27
1180 days 14:00:00,-30
1180 days 15:00:00,-33
1180 days 16:00:00,-36
1180 days 17:00:00,-37
1180 days 18:00:00,-35
1180 days 19:00:00,-32
1180 days 20:00:00,-34
1180 days 21:00:00,-37
1180 days 22:00:00,-40
1180 days 23:00:00,-48
1181 days 00:00:00,-44
1181 days 01:00:00,-43
1181 days 02:00:00,-36
1181 days 03:00:00,-28
1181 days 04:00:00,-28
1181 days 05:00:00,-21
1181 days 06:00:00,-26
1181 days 07:00:00,-36
1181 days 08:00:00,-43
1181 days 09:00:00,-41
1181 days 10:00:00,-39
1181 days 11:00:00,-40
1181 days 12:00:00,-39
1181 days 13:00:00,-29
1181 days 14:00:00,-33
1181 days 15:00:00,-36
1181 days 16:00:00,-34
1181 days 17:00:00,-35
1181 days 18:00:00,-38
1181 days 19:00:00,-37
1181 days 20:00:00,-36
1181 days 21:00:00,-38
1181 days 22:00:00,-32
1181 days 23:00:00,-35
1182 days 00:00:00,-45
1182 days 01:00:00,-42
1182 days 02:00:00,-35
1182 days 03:00:00,-32
1182 days 04:00:00,-26
1182 days 05:00:00,-22
1182 days 06:00:00,-22
1182 days 07:00:00,-20
1182 days 08:00:00,-15
1182 days 09:00:00,-15
1182 days 10:00:00,-11
1182 days 11:00:00,-14
1182 days 12:00:00,-10
1182 days 13:00:00,-10
1182 days 14:00:00,-15
1182 days 15:00:00,-22
1182 days 16:00:00,-26
1182 days 17:00:00,-23
1182 days 18:00:00,-26
1182 days 19:00:00,-31
1182 days 20:00:00,-38
1182 days 21:00:00,-48
1182 days 22:00:00,-48
1182 days 23:00:00,-39
1183 days 00:00:00,-39
1183 days 01:00:00,-41
1183 days 02:00:00,-40
1183 days 03:00:00,-40
1183 days 04:00:00,-33
1183 days 05:00:00,-30
1183 days 06:00:00,-28
1183 days 07:00:00,-24
1183 days 08:00:00,-20
1183 days 09:00:00,-18
1183 days 10:00:00,-18
1183 days 11:00:00,-20
1183 days 12:00:00,-20
1183 days 13:00:00,-20
1183 days 14:00:00,-21
1183 days 15:00:00,-24
1183 days 16:00:00,-25
1183 days 17:00:00,-27
1183 days 18:00:00,-25
1183 days 19:00:00,-16
1183 days 20:00:00,-13
1183 days 21:00:00,-16
1183 days 22:00:00,-19
1183 days 23:00:00,-19
1184 days 00:00:00,-23
1184 days 01:00:00,-23
1184 days 02:00:00,-21
1184 days 03:00:00,-19
1184 days 04:00:00,-20
1184 days 05:00:00,-23
1184 days 06:00:00,-21
1184 days 07:00:00,-18
1184 days 08:00:00,-21
1184 days 09:00:00,-21
1184 days 10:00:00,-21
1184 days 11:00:00,-19
1184 days 12:00:00,-19
1184 days 13:00:00,-19
1184 days 14:00:00,-23
1184 days 15:00:00,-23
1184 days 16:00:00,-16
1184 days 17:00:00,-16
1184 days 18:00:00,-21
1184 days 19:00:00,-21
1184 days 20:00:00,-18
1184 days 21:00:00,-10
1184 days 22:00:00,-10
1184 days 23:00:00,-10
1185 days 00:00:00,-13
